file://urbwsr01/manuals/commerciallines/emanual/work%20comp/al/AL-Co29-Rates-2014-02-01.pdf	, 2	, annotation foundDictionary of type: /Annot	, Info
file://urbwsr01/manuals/commerciallines/emanual/work%20comp/al/AL-Co29-Rates-2014-02-01.pdf	, 2	, Source: AL-Co29-Rates-2012-07-01.pdf	Target: ../center/NBPFile.cfm?File=AL-Co29-Rates-2012-07-01.pdf	, success
file://urbwsr01/manuals/commerciallines/emanual/work%20comp/al/AL-Co29-Rates-2014-02-01.pdf	, 3	, annotation foundDictionary of type: /Annot	, Info
file://urbwsr01/manuals/commerciallines/emanual/work%20comp/al/AL-Co29-Rates-2014-02-01.pdf	, 3	, Source: AL-Co29-Rates-2012-07-01.pdf	Target: ../center/NBPFile.cfm?File=AL-Co29-Rates-2012-07-01.pdf	, success
file://urbwsr01/manuals/commerciallines/emanual/work%20comp/al/AL-Co29-Rates-2014-02-01.pdf	, 4	, annotation foundDictionary of type: /Annot	, Info
file://urbwsr01/manuals/commerciallines/emanual/work%20comp/al/AL-Co29-Rates-2014-02-01.pdf	, 4	, Source: AL-Co29-Rates-2012-07-01.pdf	Target: ../center/NBPFile.cfm?File=AL-Co29-Rates-2012-07-01.pdf	, success
file://urbwsr01/manuals/commerciallines/emanual/work%20comp/al/AL-Co29-Rates-2014-02-01.pdf	, 5	, annotation foundDictionary of type: /Annot	, Info
file://urbwsr01/manuals/commerciallines/emanual/work%20comp/al/AL-Co29-Rates-2014-02-01.pdf	, 5	, Source: AL-Co29-Rates-2012-07-01.pdf	Target: ../center/NBPFile.cfm?File=AL-Co29-Rates-2012-07-01.pdf	, success
file://urbwsr01/manuals/commerciallines/emanual/work%20comp/al-nwag/AL-Co36-Rates-2015-07-01.pdf	, 1	, annotation foundDictionary of type: /Annot	, Info
file://urbwsr01/manuals/commerciallines/emanual/work%20comp/al-nwag/AL-Co36-Rates-2015-07-01.pdf	, 1	, Source: AL-Co36-Rates-2013-05-01.pdf	Target: ../center/NBPFile.cfm?File=AL-Co36-Rates-2013-05-01.pdf	, success
file://urbwsr01/manuals/commerciallines/emanual/work%20comp/al-nwag/AL-Co36-Rates-2015-07-01.pdf	, 2	, annotation foundDictionary of type: /Annot	, Info
file://urbwsr01/manuals/commerciallines/emanual/work%20comp/al-nwag/AL-Co36-Rates-2015-07-01.pdf	, 2	, Source: AL-Co36-Rates-2013-05-01.pdf	Target: ../center/NBPFile.cfm?File=AL-Co36-Rates-2013-05-01.pdf	, success
file://urbwsr01/manuals/commerciallines/emanual/work%20comp/al-nwag/AL-Co36-Rates-2015-07-01.pdf	, 3	, annotation foundDictionary of type: /Annot	, Info
file://urbwsr01/manuals/commerciallines/emanual/work%20comp/al-nwag/AL-Co36-Rates-2015-07-01.pdf	, 3	, Source: AL-Co36-Rates-2013-05-01.pdf	Target: ../center/NBPFile.cfm?File=AL-Co36-Rates-2013-05-01.pdf	, success
file://urbwsr01/manuals/commerciallines/emanual/work%20comp/al-nwag/AL-Co36-Rates-2015-07-01.pdf	, 4	, annotation foundDictionary of type: /Annot	, Info
file://urbwsr01/manuals/commerciallines/emanual/work%20comp/al-nwag/AL-Co36-Rates-2015-07-01.pdf	, 4	, Source: AL-Co36-Rates-2013-05-01.pdf	Target: ../center/NBPFile.cfm?File=AL-Co36-Rates-2013-05-01.pdf	, success
file://urbwsr01/manuals/commerciallines/emanual/work%20comp/al-nwag/AL-Co36-Rates-2015-07-01.pdf	, 5	, annotation foundDictionary of type: /Annot	, Info
file://urbwsr01/manuals/commerciallines/emanual/work%20comp/al-nwag/AL-Co36-Rates-2015-07-01.pdf	, 5	, Source: AL-Co36-Rates-2013-05-01.pdf	Target: ../center/NBPFile.cfm?File=AL-Co36-Rates-2013-05-01.pdf	, success
file://urbwsr01/manuals/commerciallines/emanual/work%20comp/al-nwag/AL-Co36-Rates-2015-07-01.pdf	, 6	, annotation foundDictionary of type: /Annot	, Info
file://urbwsr01/manuals/commerciallines/emanual/work%20comp/al-nwag/AL-Co36-Rates-2015-07-01.pdf	, 6	, Source: AL-Co36-Rates-2013-05-01.pdf	Target: ../center/NBPFile.cfm?File=AL-Co36-Rates-2013-05-01.pdf	, success
file://urbwsr01/manuals/commerciallines/emanual/farm/farm-manual/al-nwag/AL-FLN-coverages.pdf	, 1	, annotation foundDictionary of type: /Annot	, Info
file://urbwsr01/manuals/commerciallines/emanual/farm/farm-manual/al-nwag/AL-FLN-coverages.pdf	, 1	, Source: AL-FLN-coverages 8-15-11.pdf	Target: ../center/NBPFile.cfm?File=AL-FLN-coverages 8-15-11.pdf	, success
file://urbwsr01/manuals/commerciallines/emanual/farm/farm-manual/al-nwag/AL-FLN-coverages.pdf	, 5	, annotation foundDictionary of type: /Annot	, Info
file://urbwsr01/manuals/commerciallines/emanual/farm/farm-manual/al-nwag/AL-FLN-coverages.pdf	, 5	, Source: AL-FLN-coverages 12-13.pdf	Target: ../center/NBPFile.cfm?File=AL-FLN-coverages 12-13.pdf	, success
file://urbwsr01/manuals/commerciallines/emanual/farm/farm-manual/al-nwag/AL-FLN-coverages.pdf	, 6	, annotation foundDictionary of type: /Annot	, Info
file://urbwsr01/manuals/commerciallines/emanual/farm/farm-manual/al-nwag/AL-FLN-coverages.pdf	, 6	, Source: AL-FLN-coverages 12-13.pdf	Target: ../center/NBPFile.cfm?File=AL-FLN-coverages 12-13.pdf	, success
file://urbwsr01/manuals/commerciallines/emanual/farm/farm-manual/al-nwag/AL-FLN-coverages.pdf	, 14	, annotation foundDictionary of type: /Annot	, Info
file://urbwsr01/manuals/commerciallines/emanual/farm/farm-manual/al-nwag/AL-FLN-coverages.pdf	, 14	, Source: AL-FLN-coverages 09-14.pdf	Target: ../center/NBPFile.cfm?File=AL-FLN-coverages 09-14.pdf	, success
file://urbwsr01/manuals/commerciallines/emanual/farm/farm-manual/al-nwag/AL-FLN-endsummary.pdf	, 1	, annotation foundDictionary of type: /Annot	, Info
file://urbwsr01/manuals/commerciallines/emanual/farm/farm-manual/al-nwag/AL-FLN-endsummary.pdf	, 1	, Source: AL-FLN-endsummary 02-14.pdf	Target: ../center/NBPFile.cfm?File=AL-FLN-endsummary 02-14.pdf	, success
file://urbwsr01/manuals/commerciallines/emanual/farm/farm-manual/al-nwag/AL-FLN-endsummary.pdf	, 2	, annotation foundDictionary of type: /Annot	, Info
file://urbwsr01/manuals/commerciallines/emanual/farm/farm-manual/al-nwag/AL-FLN-endsummary.pdf	, 2	, Source: AL-FLN-endsummary 02-14.pdf	Target: ../center/NBPFile.cfm?File=AL-FLN-endsummary 02-14.pdf	, success
file://urbwsr01/manuals/commerciallines/emanual/farm/farm-manual/al-nwag/AL-FLN-endsummary.pdf	, 4	, annotation foundDictionary of type: /Annot	, Info
file://urbwsr01/manuals/commerciallines/emanual/farm/farm-manual/al-nwag/AL-FLN-endsummary.pdf	, 4	, Source: AL-FLN-endsummary 12-13.pdf	Target: ../center/NBPFile.cfm?File=AL-FLN-endsummary 12-13.pdf	, success
file://urbwsr01/manuals/commerciallines/emanual/farm/farm-manual/al-nwag/AL-FLN-endsummary.pdf	, 5	, annotation foundDictionary of type: /Annot	, Info
file://urbwsr01/manuals/commerciallines/emanual/farm/farm-manual/al-nwag/AL-FLN-endsummary.pdf	, 5	, Source: AL-FLN-endsummary original.pdf	Target: ../center/NBPFile.cfm?File=AL-FLN-endsummary original.pdf	, success
file://urbwsr01/manuals/commerciallines/emanual/farm/farm-manual/al-nwag/AL-FLN-endsummary.pdf	, 7	, annotation foundDictionary of type: /Annot	, Info
file://urbwsr01/manuals/commerciallines/emanual/farm/farm-manual/al-nwag/AL-FLN-endsummary.pdf	, 7	, Source: AL-FLN-endsummary 12-13 ver 01.pdf	Target: ../center/NBPFile.cfm?File=AL-FLN-endsummary 12-13 ver 01.pdf	, success
